locus	length bp	direction	start	stop	NCBI Name	NCBI Locus	NCBI Annotation
rne	1440	=>	814263	815702	-	CLJU_RS03620	MULTISPECIES: ribonuclease E/G
rplU	315	=>	815835	816149	rplU	CLJU_RS03625	MULTISPECIES: 50S ribosomal protein L21
CLJU_c07370	327	=>	816152	816478	-	CLJU_RS03630	ribosomal-processing cysteine protease Prp
rpmA	303	=>	816483	816785	-	CLJU_RS03635	MULTISPECIES: 50S ribosomal protein L27
obgE	1275	=>	816956	818230	obgE	CLJU_RS03640	MULTISPECIES: GTPase ObgE
nadD	612	=>	818257	818868	-	CLJU_RS03645	MULTISPECIES: nicotinate-nucleotide adenylyltransferase
CLJU_c07410	576	=>	818898	819473	-	CLJU_RS03650	MULTISPECIES: HD domain-containing protein
CLJU_c07420	381	=>	819551	819931	-	CLJU_RS03655	RidA family protein
rluD1	900	=>	820256	821155	-	CLJU_RS03660	RluA family pseudouridine synthase
dacA1	1227	<=	821195	822421	-	CLJU_RS03665	D-alanyl-D-alanine carboxypeptidase
CLJU_c07450	618	=>	822729	823346	-	CLJU_RS03670	DNA-binding protein
CLJU_c07460	936	=>	823520	824455	selD	CLJU_RS03675	"selenide, water dikinase SelD"
CLJU_c07470	1383	=>	824482	825864	-	CLJU_RS03680	L-seryl-tRNA(Sec) selenium transferase
CLJU_c07480	1908	=>	825924	827831	selB	CLJU_RS03685	MULTISPECIES: selenocysteine-specific translation elongation factor
CLJU_c07490	294	=>	828836	829129	-	CLJU_RS03690	MULTISPECIES: hypothetical protein
metH2	804	=>	829194	829997	-	CLJU_RS03695	MULTISPECIES: methyltetrahydrofolate cobalamin methyltransferase
CLJU_c07510	633	=>	830051	830683	-	CLJU_RS03700	MULTISPECIES: cobalamin-binding protein
CLJU_c07520	978	=>	830718	831695	-	CLJU_RS03705	uroporphyrinogen decarboxylase
CLJU_c07530	1824	=>	832063	833886	-	CLJU_RS03710	MULTISPECIES: DUF4445 domain-containing protein
CLJU_c07540	1566	<=	834221	835786	-	CLJU_RS03715	MULTISPECIES: PucR family transcriptional regulator
metH3	804	=>	836491	837294	-	CLJU_RS03720	MULTISPECIES: methyltetrahydrofolate cobalamin methyltransferase
CLJU_c07560	633	=>	837348	837980	-	CLJU_RS03725	MULTISPECIES: cobalamin-binding protein
CLJU_c07570	978	=>	838015	838992	-	CLJU_RS03730	MULTISPECIES: uroporphyrinogen decarboxylase
CLJU_c07580	543	<=	839130	839672	-	CLJU_RS03735	MULTISPECIES: TetR/AcrR family transcriptional regulator
CLJU_c07590	1281	=>	839946	841226	-	CLJU_RS03740	MULTISPECIES: biotin/lipoyl-binding protein
CLJU_c07600	3042	=>	841246	844287	-	CLJU_RS03745	MULTISPECIES: efflux RND transporter permease subunit
CLJU_c07610	414	=>	844394	844807	-	CLJU_RS21205	MULTISPECIES: OsmC family protein
CLJU_c07620	867	=>	845004	845870	-	CLJU_RS03755	MULTISPECIES: YitT family protein
CLJU_c07650	216	=>	846719	846934			
CLJU_c07660	234	=>	846918	847151			
CLJU_c07670	705	=>	847234	847938	-	CLJU_RS03775	MULTISPECIES: hypothetical protein
CLJU_c07680	681	=>	848185	848865	-	CLJU_RS03780	MULTISPECIES: ABC transporter ATP-binding protein
CLJU_c07690	2547	=>	848885	851431	-	CLJU_RS03785	FtsX-like permease family protein
CLJU_c07700	699	=>	851825	852523	-	CLJU_RS03790	response regulator transcription factor
CLJU_c07710	1248	=>	852527	853774	-	CLJU_RS03795	MULTISPECIES: HAMP domain-containing histidine kinase
CLJU_c07720	693	<=	853848	854540	-	CLJU_RS03800	MULTISPECIES: Crp/Fnr family transcriptional regulator
hcp	1566	=>	854648	856213	hcp	CLJU_RS03805	MULTISPECIES: hydroxylamine reductase
CLJU_c07740	129	<=	856586	856714			
CLJU_c07750	678	=>	857020	857697	-	CLJU_RS03810	MULTISPECIES: response regulator transcription factor
CLJU_c07760	906	=>	857815	858720	-	CLJU_RS03815	MULTISPECIES: ABC transporter ATP-binding protein
CLJU_c07770	735	=>	858720	859454	-	CLJU_RS03820	MULTISPECIES: ABC transporter permease
CLJU_c07780	684	=>	859537	860220	-	CLJU_RS03825	MULTISPECIES: ABC transporter ATP-binding protein
CLJU_c07790	2619	=>	860226	862844	-	CLJU_RS03830	MULTISPECIES: FtsX-like permease family protein
CLJU_c07800	912	=>	862892	863803	-	CLJU_RS03835	HAMP domain-containing histidine kinase
CLJU_c07810	927	<=	864249	865175	-	CLJU_RS03840	DUF475 domain-containing protein
CLJU_c07820	711	=>	865433	866143	-	CLJU_RS03845	MULTISPECIES: response regulator transcription factor
CLJU_c07830	300	=>	866160	866459	-	CLJU_RS03850	50S ribosomal protein L7/L12
CLJU_c07840	1449	=>	866687	868135	-	CLJU_RS03855	HAMP domain-containing histidine kinase
CLJU_c07850	1107	=>	868162	869268	-	CLJU_RS03860	MULTISPECIES: hypothetical protein
CLJU_c07860	759	<=	869333	870091	-	CLJU_RS03865	MULTISPECIES: sulfite exporter TauE/SafE family protein
CLJU_c07870	2589	=>	870270	872858	-	CLJU_RS03870	MULTISPECIES: cation-transporting P-type ATPase
CLJU_c07880	1779	=>	872950	874728	-	CLJU_RS03875	MULTISPECIES: ComEC/Rec2 family competence protein
CLJU_c07890	966	=>	874806	875771	holA	CLJU_RS03880	MULTISPECIES: DNA polymerase III subunit delta
CLJU_c07900	267	<=	875801	876067	rpsT	CLJU_RS03885	MULTISPECIES: 30S ribosomal protein S20
gpr	975	=>	876328	877302	-	CLJU_RS03890	MULTISPECIES: GPR endopeptidase
CLJU_c07920	1029	=>	877451	878479	-	CLJU_RS03895	MULTISPECIES: stage II sporulation protein P
CLJU_c07930	324	=>	878578	878901	-	CLJU_RS03900	MULTISPECIES: hypothetical protein
lepA	1809	=>	879023	880831	lepA	CLJU_RS03905	elongation factor 4
hemN	1149	=>	880880	882028	-	CLJU_RS03910	MULTISPECIES: oxygen-independent coproporphyrinogen III oxidase
hrcA	1041	=>	882218	883258	hrcA	CLJU_RS03915	MULTISPECIES: heat-inducible transcriptional repressor HrcA
grpE	660	=>	883309	883968	grpE	CLJU_RS03920	nucleotide exchange factor GrpE
dnaK	1878	=>	884053	885930	dnaK	CLJU_RS03925	MULTISPECIES: molecular chaperone DnaK
dnaJ	1149	=>	886212	887360	dnaJ	CLJU_RS03930	molecular chaperone DnaJ
prmA	942	=>	887916	888857	-	CLJU_RS03935	MULTISPECIES: 50S ribosomal protein L11 methyltransferase
CLJU_c08010	756	=>	888868	889623	-	CLJU_RS03940	MULTISPECIES: 16S rRNA (uracil(1498)-N(3))-methyltransferase
CLJU_c08020	1392	=>	889624	891015	mtaB	CLJU_RS03945	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB
CLJU_c08030	345	=>	891075	891419	-	CLJU_RS03950	MULTISPECIES: histidine triad nucleotide-binding protein
rpsU	177	=>	891560	891736	-	CLJU_RS03955	MULTISPECIES: 30S ribosomal protein S21
CLJU_c08050	444	=>	891766	892209	-	CLJU_RS03960	MULTISPECIES: GatB/YqeY domain-containing protein
CLJU_c08060	285	=>	892441	892725	yqfC	CLJU_RS03965	MULTISPECIES: sporulation protein YqfC
CLJU_c08070	2106	=>	893931	896036	-	CLJU_RS03975	MULTISPECIES: HDIG domain-containing protein
CLJU_c08080	495	=>	896073	896567	ybeY	CLJU_RS03980	MULTISPECIES: rRNA maturation RNase YbeY
CLJU_c08090	699	=>	896609	897307	-	CLJU_RS03985	MULTISPECIES: phosphatase PAP2 family protein
CLJU_c08100	882	=>	897505	898386	-	CLJU_RS03990	MULTISPECIES: GTPase Era
recO	774	=>	898434	899207	recO	CLJU_RS03995	MULTISPECIES: DNA repair protein RecO
CLJU_c08120	606	=>	899223	899828	-	CLJU_RS04000	MULTISPECIES: DUF4342 domain-containing protein
CLJU_c08130	645	=>	900037	900681	-	CLJU_RS04005	MULTISPECIES: helix-turn-helix transcriptional regulator
ppdK	2640	=>	900749	903388	-	CLJU_RS04010	"MULTISPECIES: pyruvate, phosphate dikinase"
CLJU_c08150	564	<=	903526	904089	-	CLJU_RS04015	MULTISPECIES: TetR/AcrR family transcriptional regulator
CLJU_c08160	1191	=>	904399	905589	-	CLJU_RS04020	multidrug efflux MFS transporter
phzA	597	=>	905680	906276	-	CLJU_RS04025	MULTISPECIES: isochorismatase family protein
CLJU_c08180	333	=>	906534	906866	-	CLJU_RS04030	hypothetical protein
CLJU_c08190	243	<=	907059	907301	-	CLJU_RS04035	MULTISPECIES: hypothetical protein
cotS2	1038	<=	907790	908827	-	CLJU_RS04040	MULTISPECIES: CotS family spore coat protein
dnaG	1773	=>	909230	911002	-	CLJU_RS04045	MULTISPECIES: DNA primase
rpoD	1065	=>	911023	912087	rpoD	CLJU_RS04050	MULTISPECIES: RNA polymerase sigma factor RpoD
CLJU_c08230	891	=>	912199	913089	-	CLJU_RS04055	membrane protein
CLJU_c08240	690	=>	913114	913803	-	CLJU_RS04060	MULTISPECIES: SAM-dependent methyltransferase
CLJU_c08250	816	=>	913794	914609	-	CLJU_RS04065	MULTISPECIES: Nif3-like dinuclear metal center hexameric protein
CLJU_c08260	714	=>	914731	915444	-	CLJU_RS04070	hypothetical protein
CLJU_c08270	1488	<=	916018	917505	-	CLJU_RS04075	MULTISPECIES: pyridoxal-phosphate dependent enzyme
CLJU_c08280	762	=>	917721	918482	-	CLJU_RS04080	MULTISPECIES: TSUP family transporter
CLJU_c08290	336	<=	918537	918872	-	CLJU_RS04085	MULTISPECIES: hypothetical protein
CLJU_c08300	288	=>	919087	919374			
CLJU_c08310	204	=>	919367	919570	-	CLJU_RS04090	DUF1653 domain-containing protein
CLJU_c08320	198	=>	920057	920254	-	CLJU_RS04095	"MULTISPECIES: transcriptional regulator, partial"
aroP	1383	=>	920429	921811	-	CLJU_RS04100	MULTISPECIES: amino acid permease
CLJU_c08340	165	<=	922070	922234			
CLJU_c08350	180	<=	922209	922388			
CLJU_c08360	207	<=	922433	922639	-	CLJU_RS04110	hypothetical protein
CLJU_c08370	360	=>	922881	923240	-	CLJU_RS04115	MULTISPECIES: hypothetical protein
CLJU_c08380	720	=>	923401	924120	budA	CLJU_RS04120	MULTISPECIES: acetolactate decarboxylase
CLJU_c08390	1908	<=	924164	926071	-	CLJU_RS04125	MULTISPECIES: ABC-F family ATP-binding cassette domain-containing protein
CLJU_c08400	774	<=	926175	926948	-	CLJU_RS04130	MULTISPECIES: SGNH hydrolase
CLJU_c08410	771	=>	927309	928079	-	CLJU_RS04135	MULTISPECIES: prolipoprotein diacylglyceryl transferase
CLJU_c08420	459	=>	928648	929106	-	CLJU_RS04140	hypothetical protein
CLJU_c08430	1239	<=	929430	930668	-	CLJU_RS04145	MULTISPECIES: trypsin-like serine protease
CLJU_c08440	441	=>	930855	931295	-	CLJU_RS04150	MULTISPECIES: MarR family transcriptional regulator
CLJU_c08450	1389	=>	931346	932734	-	CLJU_RS04155	MATE family efflux transporter
CLJU_c08460	1674	=>	932790	934463	-	CLJU_RS04160	N-6 DNA methylase
CLJU_c08470	210	=>	934742	934951	-	CLJU_RS04165	MULTISPECIES: hypothetical protein
CLJU_c08480	1437	=>	935188	936624	-	CLJU_RS04170	MULTISPECIES: NCS2 family permease
CLJU_c08490	1533	=>	936864	938396	-	CLJU_RS04175	MULTISPECIES: spore germination protein
CLJU_c08500	1161	=>	938393	939553	-	CLJU_RS04180	Ger(x)C family spore germination protein
grkB1	1119	=>	939779	940897	-	CLJU_RS04190	MULTISPECIES: GerAB/ArcD/ProY family transporter
CLJU_c08520	192	<=	940998	941189	-	CLJU_RS04195	MULTISPECIES: hypothetical protein
CLJU_c08530	633	<=	941335	941967	-	CLJU_RS04200	MULTISPECIES: hydrolase
purE	480	=>	942375	942854	purE	CLJU_RS04205	MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide mutase
purC	708	=>	942856	943563	-	CLJU_RS04210	phosphoribosylaminoimidazolesuccinocarboxamide synthase
CLJU_c08560	1446	=>	943604	945049	-	CLJU_RS04215	MULTISPECIES: amidophosphoribosyltransferase
CLJU_c08570	996	=>	945063	946058	-	CLJU_RS04220	MULTISPECIES: phosphoribosylformylglycinamidine cyclo-ligase
purN	615	=>	946046	946660	-	CLJU_RS04225	MULTISPECIES: phosphoribosylglycinamide formyltransferase
purH	1500	=>	946681	948180	purH	CLJU_RS04230	MULTISPECIES: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
purD	1242	=>	948266	949507	purD	CLJU_RS04235	phosphoribosylamine--glycine ligase
CLJU_c08610	1017	=>	949664	950680	-	CLJU_RS04240	MULTISPECIES: hypothetical protein
CLJU_c08620	1053	=>	950696	951748	-	CLJU_RS04245	hypothetical protein
CLJU_c08630	894	<=	951801	952694	-	CLJU_RS04250	MULTISPECIES: MBL fold metallo-hydrolase
CLJU_c08640	324	=>	952876	953199	-	CLJU_RS04255	MULTISPECIES: hypothetical protein
CLJU_c08650	636	<=	953249	953884	-	CLJU_RS04260	MULTISPECIES: 5-methyltetrahydrofolate--homocysteine methyltransferase
CLJU_c08660	2214	<=	953908	956121	-	CLJU_RS21210	cell wall-binding protein
CLJU_c08670	1461	<=	956350	957810	-	CLJU_RS04275	MULTISPECIES: FAD-dependent oxidoreductase
CLJU_c08680	690	<=	957862	958551	-	CLJU_RS04280	hypothetical protein
CLJU_c08690	2115	<=	958568	960682	-	CLJU_RS04285	FAD-dependent oxidoreductase
CLJU_c08700	840	=>	960870	961709	-	CLJU_RS04290	MerR family transcriptional regulator
CLJU_c08710	747	=>	961951	962697	-	CLJU_RS04295	MULTISPECIES: cyclase family protein
CLJU_c08720	927	=>	962741	963667	-	CLJU_RS04300	ketopantoate reductase family protein
CLJU_c08730	1413	=>	963719	965131	-	CLJU_RS04305	APC family permease
CLJU_c08740	1098	=>	965131	966228	-	CLJU_RS04310	branched-chain amino acid aminotransferase
CLJU_c08750	1353	<=	966309	967661	rlmD	CLJU_RS04315	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
CLJU_c08760	570	<=	967665	968234	-	CLJU_RS04320	hypothetical protein
CLJU_c08770	1851	=>	968414	970264	-	CLJU_RS04325	LTA synthase family protein
tatD	735	=>	970488	971222	-	CLJU_RS04330	MULTISPECIES: TatD family deoxyribonuclease
CLJU_c08790	753	=>	971240	971992	-	CLJU_RS04335	ABC transporter permease
CLJU_c08800	1005	=>	972004	973008	-	CLJU_RS04340	ABC transporter substrate-binding protein
CLJU_c08810	738	=>	972989	973726	-	CLJU_RS04345	MULTISPECIES: ABC transporter ATP-binding protein
CLJU_c08820	489	<=	973811	974299	-	CLJU_RS04350	MULTISPECIES: hypothetical protein
CLJU_c08830	681	=>	974532	975212	-	CLJU_RS04355	MULTISPECIES: response regulator transcription factor
CLJU_c08840	1818	<=	975614	977431	-	CLJU_RS04360	serine hydrolase
CLJU_c08850	1326	<=	977608	978933			
CLJU_c08860	1182	=>	979046	980227	-	CLJU_RS04370	MFS transporter
CLJU_c08870	189	=>	980274	980462	-	CLJU_RS04375	MULTISPECIES: hypothetical protein
nhaC	1362	=>	980643	982004	-	CLJU_RS04380	sodium:proton antiporter
cls1	1503	<=	982066	983568	cls	CLJU_RS04385	cardiolipin synthase
CLJU_c08900	387	<=	983652	984038	-	CLJU_RS04390	MULTISPECIES: zinc finger containing protein
CLJU_c08910	1728	=>	984224	985951	-	CLJU_RS04395	ABC transporter ATP-binding protein
CLJU_c08920	1842	=>	985957	987798	-	CLJU_RS04400	ABC transporter ATP-binding protein
CLJU_c08930	2145	=>	987924	990068	-	CLJU_RS04405	formate dehydrogenase subunit alpha
CLJU_c08940	99	<=	990338	990436			
rbsB	1017	=>	990567	991583	-	CLJU_RS04410	MULTISPECIES: galactose ABC transporter substrate-binding protein
CLJU_c08960	1719	=>	991592	993310	-	CLJU_RS21215	HAMP domain-containing protein
napA	1191	=>	993494	994684	-	CLJU_RS04420	cation:proton antiporter
CLJU_c08980	444	=>	994729	995172	-	CLJU_RS04425	GNAT family N-acetyltransferase
CLJU_c08990	1428	=>	995194	996621	-	CLJU_RS04430	hypothetical protein
CLJU_c09000	525	=>	996986	997510	-	CLJU_RS04435	formylmethanofuran dehydrogenase subunit E
CLJU_c09010	870	=>	997913	998782	-	CLJU_RS04440	MULTISPECIES: DUF1002 domain-containing protein
CLJU_c09020	336	=>	999041	999376	-	CLJU_RS04445	MULTISPECIES: divalent cation tolerance protein CutA
CLJU_c09030	2115	<=	999418	1001532	-	CLJU_RS21220	MULTISPECIES: methyl-accepting chemotaxis protein
CLJU_c09040	936	=>	1001970	1002905	-	CLJU_RS04455	FeS-binding protein
leuA	1533	=>	1003662	1005194	-	CLJU_RS04460	2-isopropylmalate synthase
leuC	1266	=>	1005229	1006494	leuC	CLJU_RS04465	3-isopropylmalate dehydratase large subunit
leuD	495	=>	1006494	1006988	leuD	CLJU_RS04470	3-isopropylmalate dehydratase small subunit
leuB1	1065	=>	1006985	1008049	leuB	CLJU_RS04475	3-isopropylmalate dehydrogenase
CLJU_c09090	1263	<=	1008831	1010093	-	CLJU_RS04480	NAD(P)/FAD-dependent oxidoreductase
CLJU_c09100	456	<=	1010090	1010545	-	CLJU_RS04485	4Fe-4S dicluster domain-containing protein
cooS1	1881	<=	1010564	1012444	cooS	CLJU_RS04490	anaerobic carbon-monoxide dehydrogenase catalytic subunit
CLJU_c09120	1149	=>	1012856	1014004	-	CLJU_RS04495	DEAD/DEAH box helicase
CLJU_c09130	948	=>	1014036	1014983	corA	CLJU_RS04500	magnesium/cobalt transporter CorA
CLJU_c09140	708	=>	1015104	1015811	-	CLJU_RS04505	lantibiotic protection ABC transporter ATP-binding protein
CLJU_c09150	765	=>	1015817	1016581	-	CLJU_RS04510	MULTISPECIES: lantibiotic immunity ABC transporter MutE/EpiE family permease subunit
CLJU_c09160	774	=>	1016583	1017356	-	CLJU_RS04515	MULTISPECIES: lantibiotic immunity ABC transporter MutG family permease subunit
CLJU_c09170	660	=>	1017591	1018250	-	CLJU_RS04520	response regulator transcription factor
CLJU_c09180	1347	=>	1018268	1019614	-	CLJU_RS04525	MULTISPECIES: HAMP domain-containing histidine kinase
gyrB2	1950	=>	1019780	1021729	-	CLJU_RS04530	MULTISPECIES: type IIA DNA topoisomerase subunit B
gyrA2	2865	=>	1021808	1024672	-	CLJU_RS04535	DNA topoisomerase IV subunit A
CLJU_c09210	990	=>	1025227	1026216	-	CLJU_RS04540	MULTISPECIES: lipoate--protein ligase
CLJU_c09220	555	=>	1026405	1026959	-	CLJU_RS04545	MULTISPECIES: DJ-1/PfpI family protein
CLJU_c09230	1233	=>	1027009	1028241	-	CLJU_RS04550	MULTISPECIES: insulinase family protein
recJ1	1776	=>	1028290	1030065	recJ	CLJU_RS04555	MULTISPECIES: single-stranded-DNA-specific exonuclease RecJ
CLJU_c09250	456	=>	1030121	1030576	-	CLJU_RS04560	MULTISPECIES: arginine repressor
CLJU_c09260	1440	=>	1030825	1032264	-	CLJU_RS04565	amino acid permease
arcA	1281	=>	1032639	1033919	arcA	CLJU_RS04570	MULTISPECIES: arginine deiminase
argF1	1002	=>	1034008	1035009	argF	CLJU_RS04575	MULTISPECIES: ornithine carbamoyltransferase
CLJU_c09290	1464	=>	1035082	1036545	arcD	CLJU_RS04580	MULTISPECIES: arginine-ornithine antiporter
arcC1	966	=>	1036596	1037561	arcC	CLJU_RS04585	MULTISPECIES: carbamate kinase
CLJU_c09310	2010	=>	1037816	1039825	-	CLJU_RS04590	methyl-accepting chemotaxis protein
CLJU_c09320	804	<=	1039937	1040740	-	CLJU_RS04595	MULTISPECIES: TrmB family transcriptional regulator
murG2	1065	=>	1040998	1042062	-	CLJU_RS04600	MULTISPECIES: undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
CLJU_c09340	3513	=>	1042671	1046183	nifJ	CLJU_RS04605	pyruvate:ferredoxin (flavodoxin) oxidoreductase
CLJU_c09350	348	=>	1046553	1046900	-	CLJU_RS04610	MULTISPECIES: DUF1292 domain-containing protein
CLJU_c09360	645	<=	1046958	1047602	-	CLJU_RS04615	MULTISPECIES: HAD-IB family hydrolase
ilvE1	828	=>	1047852	1048679	-	CLJU_RS04620	MULTISPECIES: aminotransferase class IV
CLJU_c09380	1953	=>	1048918	1050870	-	CLJU_RS04625	DUF342 domain-containing protein
cheW1	447	=>	1050995	1051441	-	CLJU_RS04630	MULTISPECIES: purine-binding chemotaxis protein CheW
cheD	489	=>	1051466	1051954	-	CLJU_RS04635	MULTISPECIES: chemotaxis protein CheD
cheB	1104	=>	1051977	1053080	-	CLJU_RS04640	MULTISPECIES: chemotaxis response regulator protein-glutamate methylesterase
cheR	768	=>	1053085	1053852	-	CLJU_RS04645	MULTISPECIES: protein-glutamate O-methyltransferase CheR
cheA1	2073	=>	1053865	1055937	-	CLJU_RS04650	MULTISPECIES: chemotaxis protein CheA
cheC	600	=>	1055949	1056548	-	CLJU_RS04655	MULTISPECIES: chemotaxis protein CheC
cheY1	363	=>	1056582	1056944	-	CLJU_RS04660	MULTISPECIES: response regulator
cheW2	402	=>	1057204	1057605	-	CLJU_RS04665	MULTISPECIES: purine-binding chemotaxis protein CheW
fliM	996	=>	1057633	1058628	fliM	CLJU_RS04670	MULTISPECIES: flagellar motor switch protein FliM
fliN	1206	=>	1058621	1059826	fliY	CLJU_RS04675	MULTISPECIES: flagellar motor switch phosphatase FliY
flgM	273	=>	1060072	1060344	flgM	CLJU_RS04680	MULTISPECIES: flagellar biosynthesis anti-sigma factor FlgM
CLJU_c09500	408	=>	1060372	1060779	-	CLJU_RS04685	MULTISPECIES: flagellar protein FlgN
flgK	1917	=>	1060804	1062720	flgK	CLJU_RS04690	flagellar hook-associated protein FlgK
flgL	1407	=>	1062801	1064207	flgL	CLJU_RS04695	flagellar hook-associated protein 3
CLJU_c09530	432	=>	1064258	1064689	fliW	CLJU_RS04700	MULTISPECIES: flagellar assembly protein FliW
CLJU_c09540	216	=>	1064690	1064905	csrA	CLJU_RS04705	MULTISPECIES: carbon storage regulator CsrA
flaG	360	=>	1064939	1065298	-	CLJU_RS04710	flagellar protein FlaG
CLJU_c09560	303	=>	1065329	1065631	-	CLJU_RS04715	MULTISPECIES: hypothetical protein
fliS	387	=>	1065710	1066096	fliS	CLJU_RS04720	flagellar export chaperone FliS
fliD1	2358	=>	1066406	1068763	-	CLJU_RS04725	flagellar filament capping protein FliD
CLJU_c09590	345	=>	1068820	1069164	-	CLJU_RS04730	flagellar protein FliT
CLJU_c09600	222	=>	1069811	1070032			
fliD2	1845	=>	1070022	1071866	-	CLJU_RS04740	flagellar filament capping protein FliD
CLJU_c09620	342	=>	1071891	1072232	-	CLJU_RS04745	MULTISPECIES: hypothetical protein
CLJU_c09630	1713	=>	1072513	1074225	-	CLJU_RS04750	MULTISPECIES: flagellin protein
CLJU_c09640	1887	=>	1074384	1076270	-	CLJU_RS04755	glycosyltransferase
CLJU_c09650	1572	=>	1076287	1077858	-	CLJU_RS04760	methyltransferase domain-containing protein
CLJU_c09660	1143	=>	1077876	1079018	-	CLJU_RS04765	DUF2920 family protein
CLJU_c09670	1248	=>	1079132	1080379	-	CLJU_RS04770	hypothetical protein
CLJU_c09680	1086	=>	1080463	1081548	-	CLJU_RS04775	hypothetical protein
CLJU_c09690	177	=>	1082114	1082290	-	CLJU_RS04780	carbon storage regulator
CLJU_c09700	357	=>	1082646	1083002	-	CLJU_RS04785	four helix bundle protein
flaB1	1644	=>	1083252	1084895	-	CLJU_RS04790	flagellin
CLJU_c09720	2079	=>	1085016	1087094	-	CLJU_RS04795	glycosyltransferase
CLJU_c09730	2076	=>	1087111	1089186	-	CLJU_RS04800	glycosyltransferase family 2 protein
CLJU_c09740	1353	=>	1089371	1090723	-	CLJU_RS04805	glycosyltransferase
CLJU_c09750	2181	=>	1090720	1092900	-	CLJU_RS21225	MULTISPECIES: glycosyltransferase family 1 protein
CLJU_c09760	798	<=	1093371	1094168			
CLJU_c09770	1011	<=	1094279	1095289	-	CLJU_RS04820	tyrosine-type recombinase/integrase
CLJU_c09780	216	<=	1095292	1095507			
CLJU_c09790	759	<=	1095500	1096258			
CLJU_c09800	366	<=	1096245	1096610	-	CLJU_RS21550	MULTISPECIES: tyrosine-type recombinase/integrase
CLJU_c09810	363	<=	1096784	1097146	-	CLJU_RS21240	MULTISPECIES: phage-like integrase
CLJU_c09820	777	<=	1097254	1098030			
CLJU_c09830	258	<=	1098216	1098473	tnpB	CLJU_RS04840	MULTISPECIES: IS66 family insertion sequence element accessory protein TnpB
CLJU_c09840	381	<=	1098463	1098843	-	CLJU_RS04845	MULTISPECIES: IS66 family insertion sequence hypothetical protein
CLJU_c09850	342	=>	1099022	1099363	-	CLJU_RS21245	hypothetical protein
CLJU_c09860	669	=>	1099459	1100127	-	CLJU_RS21250	MULTISPECIES: hypothetical protein
CLJU_c09870	171	=>	1100243	1100413			
CLJU_c09880	354	=>	1100512	1100865			
CLJU_c09890	837	=>	1101158	1101994			
CLJU_c09900	498	=>	1102044	1102541			
CLJU_c09910	303	=>	1102641	1102943	-	CLJU_RS04865	MULTISPECIES: nucleotidyltransferase domain-containing protein
CLJU_c09920	387	=>	1102927	1103313	-	CLJU_RS04870	MULTISPECIES: nucleotidyltransferase
CLJU_c09930	240	=>	1103493	1103732			
CLJU_c09940	1050	=>	1103839	1104888	-	CLJU_RS04880	glycosyltransferase
CLJU_c09950	1593	=>	1105121	1106713	-	CLJU_RS04885	AAA family ATPase
CLJU_c09960	408	=>	1106842	1107249	-	CLJU_RS04890	MULTISPECIES: nucleotidyltransferase domain-containing protein
CLJU_c09970	405	=>	1107242	1107646	-	CLJU_RS04895	DUF86 domain-containing protein
CLJU_c09980	300	=>	1107664	1107963			
CLJU_c09990	306	=>	1108071	1108376			
CLJU_c10000	1011	=>	1108479	1109489	-	CLJU_RS04905	MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase
CLJU_c10010	894	=>	1109714	1110607	-	CLJU_RS04910	MULTISPECIES: hypothetical protein
CLJU_c10020	1470	=>	1110854	1112323	-	CLJU_RS04915	zinc-ribbon domain-containing protein
CLJU_c10030	180	=>	1112489	1112668	-	CLJU_RS04920	putative motility protein
CLJU_c10040	252	=>	1112693	1112944	-	CLJU_RS04925	hypothetical protein
CLJU_c10050	732	=>	1113144	1113875	-	CLJU_RS21265	hypothetical protein
CLJU_c10060	2286	=>	1114075	1116360	-	CLJU_RS04935	MULTISPECIES: cell wall-binding repeat-containing protein
CLJU_c10070	4794	=>	1116569	1121362	-	CLJU_RS04940	DUF5050 domain-containing protein
CLJU_c10080	753	=>	1121498	1122250	-	CLJU_RS04945	hydrolase
hom2	1305	=>	1122402	1123706	-	CLJU_RS04950	MULTISPECIES: homoserine dehydrogenase
CLJU_c10100	465	<=	1123775	1124239	-	CLJU_RS04955	MULTISPECIES: DUF441 domain-containing protein
CLJU_c10110	564	=>	1124505	1125068	-	CLJU_RS04960	MULTISPECIES: DUF3867 domain-containing protein
CLJU_c10120	363	=>	1125141	1125503	-	CLJU_RS04965	MULTISPECIES: hypothetical protein
CLJU_c10130	375	=>	1125630	1126004	-	CLJU_RS04970	MULTISPECIES: hypothetical protein
dut	432	=>	1126122	1126553	-	CLJU_RS04975	dUTP diphosphatase
ssb1	333	=>	1126767	1127099	ssb	CLJU_RS04980	MULTISPECIES: single-stranded DNA-binding protein
CLJU_c10160	2010	=>	1127377	1129386	-	CLJU_RS04985	methyl-accepting chemotaxis protein
CLJU_c10170	339	=>	1129532	1129870	-	CLJU_RS04990	MULTISPECIES: hypothetical protein
flaB2	849	=>	1130067	1130915	-	CLJU_RS04995	flagellin
